Name,Short,GeographyGroup,Cloud
China East,ce,Asia Pacific,AzureChinaCloud
China East 2,ce2,Asia Pacific,AzureChinaCloud
China North,cn,Asia Pacific,AzureChinaCloud
China North 2,cn2,Asia Pacific,AzureChinaCloud
Australia Central,ac,Asia Pacific,AzureCloud
Australia Central 2,ac2,Asia Pacific,AzureCloud
Australia East,ae,Asia Pacific,AzureCloud
Australia Southeast,as,Asia Pacific,AzureCloud
New Zealand North,nzn,Asia Pacific,AzureCloud
Brazil South,bs2,South America,AzureCloud
Brazil Southeast,bs,South America,AzureCloud
Canada Central,cc,Canada,AzureCloud
Canada East,ce,Canada,AzureCloud
Central India,ci,Asia Pacific,AzureCloud
Central US,cu,US,AzureCloud
East Asia,ea,Asia Pacific,AzureCloud
East US,eu,US,AzureCloud
East US 2,eu2,US,AzureCloud
France Central,fc,Europe,AzureCloud
France South,fs,Europe,AzureCloud
Germany North,gn,Europe,AzureCloud
Germany West Central,gwc,Europe,AzureCloud
Japan East,je,Asia Pacific,AzureCloud
Japan West,jw,Asia Pacific,AzureCloud
Jio India West,jiw,Asia Pacific,AzureCloud
Korea Central,kc,Asia Pacific,AzureCloud
Korea South,ks,Asia Pacific,AzureCloud
North Central US,ncu,US,AzureCloud
North Europe,ne2,Europe,AzureCloud
Norway East,ne,Europe,AzureCloud
Norway West,nw,Europe,AzureCloud
South Africa North,san,Africa,AzureCloud
South Africa West,saw,Africa,AzureCloud
South Central US,scu,US,AzureCloud
South India,si,Asia Pacific,AzureCloud
Southeast Asia,sa,Asia Pacific,AzureCloud
Switzerland North,sn,Europe,AzureCloud
Switzerland West,sw,Europe,AzureCloud
UAE Central,uc,Middle East,AzureCloud
UAE North,un,Middle East,AzureCloud
UK South,us,Europe,AzureCloud
UK West,uw,Europe,AzureCloud
West Central US,wcu,US,AzureCloud
West Europe,we,Europe,AzureCloud
West India,wi,Asia Pacific,AzureCloud
West US,wu,US,AzureCloud
West US 2,wu2,US,AzureCloud
West US 3,wu3,US,AzureCloud
USDoD Central,uc,US,AzureUSGovernment
USDoD East,ue,US,AzureUSGovernment
USGov Arizona,ua,US,AzureUSGovernment
USGov Iowa,ui,US,AzureUSGovernment
USGov Texas,ut,US,AzureUSGovernment
USGov Virginia,uv,US,AzureUSGovernment
